================================================================================
  TEST RUN REPORT  ParallelOnnxDeltaForge
  Start     : 2026-09-04 10:25:18.450 UTC
  End       : 2026-09-04 10:25:19.059 UTC
  Elapsed   : 0,61s
  Passed    : 75
  Failed    : 0
================================================================================

  [001] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [002] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [003] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [004] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [005] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [006] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [007] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [008] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [009] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [010] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [011] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [012] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [013] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [014] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [015] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [016] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [017] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [018] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [019] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [020] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [021] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [022] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
  [023] PASS | OnnxDeltaForgeServiceTests.InvokeStub_TestBase.TestCleanup
